(Thousands of Dollars),United States**,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi*,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Total revenue,"2,549,877,521","32,081,908","10,561,638","43,710,271","25,946,351","398,622,040","34,758,620","34,657,891","9,552,088","107,476,847","56,906,430","16,136,298","13,433,354","87,942,021","43,733,220","26,798,284","21,425,762","33,778,547","36,526,284","10,630,716","47,556,977","67,489,472","80,390,225","53,870,383","20,186,590","39,873,277","9,068,008","12,173,777","22,421,180","9,328,812","78,982,653","21,469,601","217,166,823","67,493,557","7,921,242","100,598,743","27,168,522","45,407,617","103,959,640","9,261,634","34,807,666","6,113,763","35,414,548","163,975,910","22,642,916","5,962,406","61,398,238","62,989,517","16,383,096","46,800,615","6,921,543"
General revenue,"1,975,243,412","26,772,097","8,345,313","34,679,384","21,149,036","288,583,711","27,870,020","27,814,614","8,340,428","84,010,368","44,120,676","13,451,636","10,148,878","67,992,261","38,491,515","21,134,343","17,685,552","27,713,601","27,794,345","8,579,443","41,021,463","54,786,749","63,998,679","41,353,995","18,953,932","29,530,314","6,618,079","10,025,526","15,342,157","7,012,244","62,862,114","17,160,408","164,596,740","53,199,169","6,648,047","69,775,759","21,102,389","32,725,089","84,656,671","7,506,147","26,655,917","4,407,425","29,405,724","128,756,803","18,699,738","5,104,187","47,186,364","47,091,108","13,182,692","35,545,520","5,655,042"
Intergovernmental revenue,"655,915,728","9,949,247","3,286,785","15,347,246","7,916,365","93,013,830","8,463,350","7,535,049","2,415,919","27,852,122","15,229,969","2,787,412","2,622,679","19,736,635","14,712,679","6,245,956","4,160,844","10,829,538","12,636,842","3,020,597","13,203,944","16,331,054","21,350,680","10,939,218","8,147,073","11,322,122","3,054,845","3,179,745","5,234,577","2,720,430","18,615,719","7,226,565","60,371,092","16,412,180","1,825,980","24,305,702","7,280,359","10,327,965","29,475,131","2,519,225","9,007,621","1,574,684","11,161,689","44,657,763","4,524,182","1,075,163","10,699,877","14,228,084","5,109,431","9,583,175","2,687,389"
Taxes,"942,959,035","10,418,152","1,189,786","13,888,611","9,516,281","155,632,088","13,197,606","16,345,525","3,588,905","40,218,365","22,419,440","7,029,026","4,511,208","37,978,923","18,051,598","9,755,430","8,173,821","11,907,759","11,104,720","4,232,556","21,599,795","27,518,360","28,628,517","25,594,522","7,862,299","12,495,505","2,654,444","5,103,105","8,624,618","2,496,719","32,325,850","5,776,271","79,678,037","26,855,304","3,465,326","30,306,468","8,569,402","11,914,567","37,853,091","3,266,663","9,828,825","1,828,543","13,893,728","53,612,926","7,832,889","3,127,523","22,213,025","23,997,592","5,092,275","18,133,496","1,649,550"
General sales,"299,679,774","2,654,883",0,"6,566,503","3,384,394","35,357,699","2,978,382","4,236,619",0,"25,346,166","5,729,916","3,239,225","1,650,498","11,363,366","7,556,326","3,205,997","3,209,506","3,490,639","4,215,378","1,441,867","4,609,538","6,240,822","9,223,737","5,888,795","3,429,670","3,604,570",0,"1,835,037","4,756,243",0,"9,591,881","2,258,767","14,132,141","7,656,898","872,176","13,343,149","2,465,383",0,"10,509,734","996,390","3,285,007","1,065,361","7,260,193","32,490,144","2,533,961","375,870","3,970,133","14,509,841","1,334,168","5,223,935","588,866"
Selective sales,"151,252,958","2,592,411","263,120","1,973,223","1,317,474","12,582,663","2,150,470","2,413,089","556,490","7,993,390","3,078,034","1,126,631","594,858","7,266,528","3,338,102","1,407,088","1,092,059","2,159,069","2,799,119","723,275","4,633,222","2,577,525","4,473,004","4,718,840","1,536,973","1,799,366","576,214","572,477","2,167,041","959,384","3,796,733","810,874","11,230,442","4,042,138","477,252","6,230,259","1,299,512","1,598,677","9,119,703","695,392","1,352,342","452,612","2,750,772","14,407,208","996,848","682,699","2,945,964","4,660,927","1,338,719","2,749,024","173,722"
License taxes,"55,002,869","529,607","134,928","505,494","384,559","10,525,972","748,284","442,290","1,503,083","2,032,331","672,897","269,224","383,702","2,793,983","681,547","947,549","421,080","500,447","368,318","274,760","866,391","1,112,162","1,787,867","1,477,319","529,709","590,747","329,874","182,791","666,527","329,719","1,550,059","307,671","1,814,065","2,235,904","213,985","2,300,778","1,062,358","1,067,836","2,240,809","110,461","518,886","269,481","1,635,495","3,432,901","321,715","127,049","856,649","1,453,628","148,951","1,179,054","161,973"
Individual income tax,"350,913,624","3,624,543",0,"3,445,650","2,767,767","84,196,751","6,791,929","7,959,492","1,180,975",0,"10,977,693","2,095,601","1,660,248","13,256,769","5,435,292","3,655,462","2,327,652","4,394,185","2,949,939","1,534,866","9,066,709","14,724,277","9,485,325","10,956,205","1,872,055","6,149,468","1,177,958","2,228,486",0,"65,467","13,958,119","1,338,768","44,631,769","12,086,332","319,507","8,377,450","3,122,602","8,379,225","12,063,782","1,238,928","4,142,276",0,"249,977",0,"3,621,199","743,630","13,052,887",0,"1,813,866","7,792,543",0
Corporate income tax,"44,644,361","520,113","87,775","368,136","396,989","10,112,520","528,541","897,247","246,175","2,383,783","971,898","184,840","216,641","2,877,499","1,025,498","432,020","386,966","458,650","291,321","175,239","1,001,934","2,196,474","1,195,399","1,227,028","424,673","307,443","125,003","264,440",0,"573,653","2,109,930","91,876","4,026,353","757,041","60,871","8,833","157,894","633,046","2,344,344","129,732","375,655","30,728","1,726,223",0,"329,577","81,395","826,961",0,"116,305","959,699",0
Other taxes,"41,465,449","496,595","703,963","1,029,605","1,265,098","2,856,483",0,"396,788","102,182","2,462,695","989,002","113,505","5,261","420,778","14,833","107,314","736,558","904,769","480,645","82,549","1,422,001","667,100","2,463,185","1,326,335","69,219","43,911","445,395","19,874","1,034,807","568,496","1,319,128","968,315","3,843,267","76,991","1,521,535","45,999","461,653","235,783","1,574,719","95,760","154,659","10,361","271,068","3,282,673","29,589","1,116,880","560,431","3,373,196","340,266","229,241","724,989"
